Date,Open,High,Low,Close,Adj Close,Volume
2020-03-24,7196.149902,7418.370117,7169.859863,7417.859863,7417.859863,4417380000
2020-03-25,7421.359863,7671.209961,7276.399902,7384.299805,7384.299805,4666440000
2020-03-26,7462.209961,7809.830078,7462.209961,7797.540039,7797.540039,3999850000
2020-03-27,7554.250000,7716.240234,7491.140137,7502.379883,7502.379883,3977010000
2020-03-30,7583.459961,7784.350098,7539.970215,7774.149902,7774.149902,3846900000
2020-03-31,7740.060059,7880.310059,7642.859863,7700.100098,7700.100098,4059700000
2020-04-01,7459.500000,7566.370117,7301.979980,7360.580078,7360.580078,3685510000
2020-04-02,7317.450195,7501.700195,7307.950195,7487.310059,7487.310059,3608190000
2020-04-03,7477.270020,7518.720215,7288.109863,7373.080078,7373.080078,3279100000
2020-04-06,7660.169922,7938.330078,7617.790039,7913.240234,7913.240234,3849100000
2020-04-07,8129.990234,8146.430176,7881.220215,7887.259766,7887.259766,4069410000
2020-04-08,7975.720215,8114.430176,7901.939941,8090.899902,8090.899902,3470730000
2020-04-09,8169.009766,8227.910156,8072.319824,8153.580078,8153.580078,4123670000
2020-04-13,8127.689941,8200.440430,8035.950195,8192.419922,8192.419922,3146860000
2020-04-14,8353.209961,8531.110352,8338.080078,8515.740234,8515.740234,3732820000
2020-04-15,8355.959961,8464.660156,8308.790039,8393.179688,8393.179688,3333750000
2020-04-16,8479.110352,8560.160156,8393.269531,8532.360352,8532.360352,3995870000
2020-04-17,8667.480469,8670.299805,8531.690430,8650.139648,8650.139648,4335020000
2020-04-20,8553.379883,8684.910156,8553.379883,8560.730469,8560.730469,3796950000
2020-04-21,8460.690430,8480.290039,8215.690430,8263.230469,8263.230469,3756290000
2020-04-22,8434.549805,8537.309570,8404.540039,8495.379883,8495.379883,3025060000
2020-04-23,8528.839844,8635.230469,8475.200195,8494.750000,8494.750000,3734720000
2020-04-24,8530.080078,8642.929688,8464.419922,8634.519531,8634.519531,3673170000
2020-04-27,8717.980469,8754.570313,8697.370117,8730.160156,8730.160156,3678460000
2020-04-28,8825.690430,8830.570313,8600.700195,8607.730469,8607.730469,3707540000
2020-04-29,8802.700195,8957.269531,8765.009766,8914.709961,8914.709961,4378540000
2020-04-30,8911.019531,8926.110352,8825.830078,8889.549805,8889.549805,4316380000
2020-05-01,8681.290039,8754.459961,8566.839844,8604.950195,8604.950195,3722520000
2020-05-04,8555.320313,8715.820313,8537.830078,8710.709961,8710.709961,3422150000
2020-05-05,8809.660156,8909.959961,8781.309570,8809.120117,8809.120117,3913360000
2020-05-06,8874.700195,8933.250000,8819.370117,8854.389648,8854.389648,3620030000
2020-05-07,8973.780273,9015.990234,8932.860352,8979.660156,8979.660156,3762070000
2020-05-08,9056.889648,9125.980469,9018.209961,9121.320313,9121.320313,3777340000
2020-05-11,9054.910156,9241.919922,9053.169922,9192.339844,9192.339844,3898690000
2020-05-12,9225.150391,9250.959961,9000.070313,9002.549805,9002.549805,4315070000
2020-05-13,9006.049805,9074.160156,8752.679688,8863.169922,8863.169922,4244110000
2020-05-14,8788.040039,8945.709961,8705.250000,8943.719727,8943.719727,3945080000
2020-05-15,8839.990234,9018.400391,8821.379883,9014.559570,9014.559570,4221500000
2020-05-18,9177.150391,9267.219727,9154.349609,9234.830078,9234.830078,4318310000
2020-05-19,9227.459961,9317.250000,9183.250000,9185.099609,9185.099609,4144770000
2020-05-20,9305.620117,9392.820313,9304.200195,9375.780273,9375.780273,4292470000
2020-05-21,9375.190430,9405.250000,9254.849609,9284.879883,9284.879883,3725950000
2020-05-22,9278.549805,9328.280273,9239.410156,9324.589844,9324.589844,3641830000
2020-05-26,9501.209961,9501.209961,9333.160156,9340.219727,9340.219727,4432310000
2020-05-27,9346.120117,9414.620117,9144.280273,9412.360352,9412.360352,4462450000
2020-05-28,9392.990234,9523.639648,9345.280273,9368.990234,9368.990234,4064220000
2020-05-29,9382.349609,9505.549805,9324.730469,9489.870117,9489.870117,4710060000
2020-06-01,9471.419922,9571.280273,9462.320313,9552.049805,9552.049805,3824770000
2020-06-02,9566.530273,9611.219727,9472.080078,9608.379883,9608.379883,3962460000
2020-06-03,9651.860352,9707.780273,9627.169922,9682.910156,9682.910156,4638380000
2020-06-04,9649.650391,9716.139648,9560.410156,9615.809570,9615.809570,6074320000
2020-06-05,9703.540039,9845.690430,9685.349609,9814.080078,9814.080078,6572850000
2020-06-08,9823.440430,9927.129883,9780.610352,9924.750000,9924.750000,6143120000
2020-06-09,9867.190430,10002.500000,9863.269531,9953.750000,9953.750000,5281860000
2020-06-10,10012.320313,10086.889648,9962.580078,10020.349609,10020.349609,5128400000
2020-06-11,9791.240234,9868.080078,9491.309570,9492.730469,9492.730469,5271000000
2020-06-12,9715.870117,9768.639648,9413.620117,9588.809570,9588.809570,4366190000
2020-06-15,9426.900391,9756.070313,9403.000000,9726.019531,9726.019531,4440650000
2020-06-16,9949.780273,9963.629883,9748.379883,9895.870117,9895.870117,4639860000
2020-06-17,9943.309570,9991.209961,9891.809570,9910.530273,9910.530273,4249680000
2020-06-18,9892.480469,9959.200195,9885.660156,9943.049805,9943.049805,4294740000
2020-06-19,10042.129883,10053.910156,9872.940430,9946.120117,9946.120117,6068130000
2020-06-22,9945.490234,10059.610352,9916.599609,10056.480469,10056.480469,4468000000
2020-06-23,10130.830078,10221.849609,10112.440430,10131.370117,10131.370117,5712450000
2020-06-24,10092.919922,10137.500000,9842.219727,9909.169922,9909.169922,5549440000
2020-06-25,9899.360352,10023.280273,9810.469727,10017.000000,10017.000000,4709620000
2020-06-26,9995.120117,10000.669922,9749.070313,9757.219727,9757.219727,7279230000
2020-06-29,9771.719727,9877.339844,9663.610352,9874.150391,9874.150391,4306120000
2020-06-30,9875.290039,10085.589844,9863.669922,10058.769531,10058.769531,4474000000
2020-07-01,10063.669922,10197.190430,10048.040039,10154.629883,10154.629883,4595970000
2020-07-02,10268.669922,10310.360352,10194.059570,10207.629883,10207.629883,4017530000
2020-07-06,10360.379883,10462.049805,10354.980469,10433.650391,10433.650391,4529480000
2020-07-07,10412.459961,10518.980469,10337.980469,10343.889648,10343.889648,4314110000
2020-07-08,10409.349609,10494.629883,10350.959961,10492.500000,10492.500000,3999180000
2020-07-09,10563.719727,10578.099609,10379.910156,10547.750000,10547.750000,3992920000
2020-07-10,10545.910156,10622.349609,10447.009766,10617.440430,10617.440430,3509810000
2020-07-13,10729.919922,10824.780273,10368.040039,10390.839844,10390.839844,4822050000
2020-07-14,10310.250000,10497.830078,10182.459961,10488.580078,10488.580078,4419480000
2020-07-15,10576.719727,10604.669922,10420.540039,10550.490234,10550.490234,4610540000
2020-07-16,10443.870117,10499.790039,10364.389648,10473.830078,10473.830078,4237290000
2020-07-17,10500.519531,10532.620117,10421.209961,10503.190430,10503.190430,4334280000
2020-07-20,10526.019531,10783.799805,10488.040039,10767.089844,10767.089844,4274340000
2020-07-21,10837.879883,10839.929688,10650.459961,10680.360352,10680.360352,5311750000
2020-07-22,10687.580078,10745.320313,10627.450195,10706.129883,10706.129883,4074020000
2020-07-23,10689.500000,10728.120117,10407.870117,10461.419922,10461.419922,4469470000
2020-07-24,10294.410156,10418.750000,10217.309570,10363.179688,10363.179688,4205330000
2020-07-27,10421.700195,10546.440430,10399.860352,10536.269531,10536.269531,4209900000
2020-07-28,10509.200195,10523.639648,10397.870117,10402.089844,10402.089844,3869230000
2020-07-29,10474.700195,10567.910156,10464.000000,10542.940430,10542.940430,3970900000
2020-07-30,10450.120117,10609.589844,10412.089844,10587.809570,10587.809570,4135200000
2020-07-31,10741.469727,10747.799805,10557.700195,10745.269531,10745.269531,4418390000
2020-08-03,10848.639648,10927.559570,10831.150391,10902.799805,10902.799805,4173600000
2020-08-04,10897.889648,10941.910156,10852.900391,10941.169922,10941.169922,3973570000
2020-08-05,10967.870117,11002.110352,10943.719727,10998.400391,10998.400391,4119550000
2020-08-06,10989.980469,11121.190430,10963.410156,11108.070313,11108.070313,4086290000
2020-08-07,11072.530273,11126.040039,10920.370117,11010.980469,11010.980469,4230720000
2020-08-10,11033.730469,11040.240234,10849.459961,10968.360352,10968.360352,4018530000
2020-08-11,10942.660156,10989.419922,10762.709961,10782.820313,10782.820313,4303980000
2020-08-12,10878.120117,11036.719727,10877.160156,11012.240234,11012.240234,3716840000
2020-08-13,11026.860352,11124.849609,11007.500000,11042.500000,11042.500000,3444140000
2020-08-14,11042.240234,11058.440430,10972.059570,11019.299805,11019.299805,3491320000
